"PK","SK","appId","categoryDescription","categoryId","categoryName","clientId","createdAt","createdBy","displaySettings","faqCount","GSI4PK","GSI4SK","icon","isActive","metadata","originName","parentCategoryId","sortOrder","targetAttributes","updatedAt","updatedBy"
"CLIENT#MM000002#APP#0001","CATEGORY#CAT202511255FB1","0001","授業・カリキュラム","CAT202511255FB1","授業・カリキュラム","MM000002","2025-11-25T11:43:49.211484","system","{""showInMenu"":{""BOOL"":true},""showInSearch"":{""BOOL"":true},""expandByDefault"":{""BOOL"":false}}","0","STATUS#active","SORT#0001#CAT#CAT202511255FB1","{""type"":{""S"":""emoji""},""value"":{""S"":""🧑‍🏫""}}","true","","授業・カリキュラム","ROOT","1","[{""S"":""elementary""},{""S"":""middle""},{""S"":""high""}]","2025-11-25T11:43:49.211484","system"
"CLIENT#MM000002#APP#0001","CATEGORY#CAT2025112598A2","0001","学習時間","CAT2025112598A2","学習時間","MM000002","2025-11-25T11:45:22.098662","system","{""showInMenu"":{""BOOL"":true},""showInSearch"":{""BOOL"":true},""expandByDefault"":{""BOOL"":false}}","0","STATUS#active","SORT#0002#CAT#CAT2025112598A2","{""type"":{""S"":""emoji""},""value"":{""S"":""🏫""}}","true","","学習時間","ROOT","2","[{""S"":""elementary""},{""S"":""middle""},{""S"":""high""}]","2025-11-25T11:45:22.098662","system"
"CLIENT#MM000002#APP#0001","CATEGORY#CAT20251125D487","0001","料金・制度","CAT20251125D487","料金・制度","MM000002","2025-11-25T11:45:54.731698","system","{""showInMenu"":{""BOOL"":true},""showInSearch"":{""BOOL"":true},""expandByDefault"":{""BOOL"":false}}","0","STATUS#active","SORT#0003#CAT#CAT20251125D487","{""type"":{""S"":""emoji""},""value"":{""S"":""💴""}}","true","","料金・制度","ROOT","3","[{""S"":""elementary""},{""S"":""middle""},{""S"":""high""}]","2025-11-25T11:45:54.731698","system"
